name,addr:housenumber,addr:street,addr:city,addr:postcode,geometry
San Diego County Credit Union,2530,El Camino Real,Carlsbad,92008,"POLYGON ((-117.3246617 33.1800757, -117.3246585 33.1801021, -117.3246583 33.1801596, -117.3246127 33.1801573, -117.3246129 33.180138, -117.324578 33.180138, -117.324578 33.1801133, -117.3245136 33.1801133, -117.3244653 33.1795252, -117.3246504 33.1795027, -117.3246397 33.1793433, -117.3247631 33.1793389, -117.3247497 33.1791907, -117.3247845 33.1791884, -117.3247742 33.179086, -117.3250189 33.1790763, -117.3250258 33.1791539, -117.3249936 33.1791606, -117.3250017 33.1792796, -117.3250367 33.1792827, -117.3250419 33.17932, -117.3249991 33.1793254, -117.3250151 33.1794996, -117.3249936 33.1795063, -117.3249936 33.1795288, -117.3250206 33.1795274, -117.3250231 33.1795467, -117.3250502 33.1795467, -117.3250741 33.1799014, -117.3250527 33.1799023, -117.3250501 33.179927, -117.3250232 33.179927, -117.3250003 33.1799284, -117.3250098 33.1800123, -117.3246503 33.1800227, -117.3246617 33.1800757))"
Bank of America,220,South Escondido Boulevard,Escondido,92025,"POLYGON ((-117.0827022 33.1196563, -117.082277 33.1198645, -117.0821438 33.1196701, -117.0821183 33.119633, -117.0820676 33.1195589, -117.0821632 33.1195145, -117.0822141 33.1195869, -117.0822384 33.1196215, -117.082573 33.1194504, -117.0826365 33.1195381, -117.0826274 33.1195551, -117.0827022 33.1196563))"
U.S. Bank,4249,Camino de la Plaza,San Diego,92173,"POLYGON ((-117.0424547 32.5450805, -117.042402 32.5450809, -117.0423498 32.5450814, -117.0423488 32.5450031, -117.0423488 32.5449983, -117.0422995 32.5449987, -117.0422991 32.5449683, -117.0422036 32.5449691, -117.042204 32.5449998, -117.0421614 32.5450002, -117.0421625 32.5450917, -117.0421229 32.545092, -117.0421237 32.5451583, -117.042165 32.5451579, -117.0421659 32.5452392, -117.0423515 32.5452376, -117.0423505 32.5451549, -117.0424013 32.5451545, -117.0424556 32.545154, -117.0424547 32.5450805))"
Wells Fargo,13408,Poway Road,Poway,92064,"POLYGON ((-117.0404367 32.9568028, -117.0404136 32.9568028, -117.040411 32.9568235, -117.0403058 32.9568211, -117.0402504 32.9568191, -117.0402511 32.9568015, -117.0401898 32.9568003, -117.0401904 32.9567446, -117.0401685 32.9567429, -117.0401744 32.9566092, -117.0403809 32.9566138, -117.0403817 32.9566332, -117.0404212 32.9566346, -117.0404206 32.9566488, -117.0404436 32.956649, -117.0404367 32.9568028))"
U.S. Bank,13395,Poway Road,Poway,92064,"POLYGON ((-117.0412159 32.9562895, -117.0409289 32.9562805, -117.0409369 32.956033, -117.0412281 32.9560395, -117.0412159 32.9562895))"
Bank of America,10511,Craftsman Way,San Diego,92127,"POLYGON ((-117.1125917 33.0203496, -117.112398 33.0203783, -117.1123556 33.0201775, -117.1125494 33.0201488, -117.1125917 33.0203496))"
San Diego County Credit Union,790,West San Marcos Boulevard,San Marcos,92078,"POLYGON ((-117.181983 33.1367506, -117.1816494 33.1368401, -117.1815942 33.1366956, -117.1819287 33.1366061, -117.181983 33.1367506))"
Bank of America,1350,East Valley Parkway,Escondido,92027,"POLYGON ((-117.0641732 33.1322408, -117.0640798 33.1321281, -117.0640923 33.1321208, -117.0641389 33.1320937, -117.0641696 33.1320759, -117.0641196 33.1320156, -117.0640891 33.1320334, -117.0640427 33.1320604, -117.0640299 33.1320678, -117.0640152 33.1320502, -117.0638965 33.1321192, -117.0638245 33.1321611, -117.0639826 33.1323517, -117.0641732 33.1322408))"
Chase,348,S Twin Oaks Valley Road,San Marcos,92078,"POLYGON ((-117.166033 33.1315725, -117.1657517 33.1316408, -117.1657005 33.1314926, -117.1659825 33.1314243, -117.166033 33.1315725))"
Bank of America,11190,East Ocean Air Drive,San Diego,92130,"POLYGON ((-117.2165854 32.9208648, -117.2165349 32.9208741, -117.2162637 32.9209242, -117.2162893 32.921022, -117.2162702 32.9210256, -117.2162905 32.9211031, -117.2163852 32.9210856, -117.2163827 32.9210758, -117.2165469 32.9210455, -117.2165293 32.9209782, -117.2165555 32.9209734, -117.2166112 32.9209631, -117.2165854 32.9208648))"
Bank of America,4319,Camino de la Plaza,San Diego,92173,"POLYGON ((-117.040638 32.5452013, -117.0406365 32.5450352, -117.0404414 32.5450365, -117.0404413 32.545027, -117.0403857 32.5450273, -117.0403861 32.5450752, -117.0403962 32.5450751, -117.0403973 32.5452028, -117.0405764 32.5452017, -117.040638 32.5452013))"
Pacific Western Bank,1690,South Melrose Drive,Vista,92081,"POLYGON ((-117.2455523 33.1652213, -117.2454126 33.1652865, -117.2454463 33.165337, -117.2453912 33.1653628, -117.2453576 33.1653125, -117.2452603 33.165358, -117.2451703 33.1652231, -117.2452538 33.1651841, -117.2452374 33.1651595, -117.2452103 33.1651189, -117.2452815 33.1650857, -117.2453073 33.1651243, -117.2453226 33.1651472, -117.24546 33.1650829, -117.2455523 33.1652213))"
Wells Fargo,245,Santa Helena,Solana Beach,92075,"POLYGON ((-117.2556143 32.9963366, -117.2555395 32.9963567, -117.2555646 32.9964229, -117.2554903 32.996443, -117.2554654 32.9963764, -117.255445 32.996325, -117.2553722 32.9963446, -117.2552616 32.9960559, -117.2554212 32.9960129, -117.255437 32.9960542, -117.2554996 32.9960374, -117.2556143 32.9963366))"
Union Bank,580,North 2nd Street,El Cajon,92021,"POLYGON ((-116.9359818 32.8019964, -116.935978 32.8017158, -116.9361327 32.8017142, -116.9361341 32.8018167, -116.9361349 32.8018714, -116.9361566 32.8018712, -116.9361583 32.8019947, -116.9359818 32.8019964))"
Chase,866,N Johnson Av,El Cajon,92020,"POLYGON ((-116.9715562 32.8068955, -116.9715566 32.8066312, -116.9712338 32.8066308, -116.9712334 32.8068951, -116.9715562 32.8068955))"
Citibank,402,Fletcher Parkway,El Cajon,92020,"POLYGON ((-116.9662524 32.8081366, -116.9662496 32.8079277, -116.9660121 32.80793, -116.966015 32.8081389, -116.9662524 32.8081366))"
U.S. Bank,490,Fletcher Parkway,El Cajon,92020,"POLYGON ((-116.9672815 32.8081452, -116.9669648 32.8081452, -116.9669648 32.8079954, -116.967254 32.8079954, -116.967254 32.8080512, -116.9672815 32.8080512, -116.9672815 32.8081452))"
Mission Federal Credit Union,270,Fletcher Parkway,El Cajon,92020,"POLYGON ((-116.9648861 32.8081556, -116.9648843 32.8079927, -116.9647767 32.8079935, -116.9647785 32.8081564, -116.9648861 32.8081556))"
California Coast Credit Union,140,Knoll Road,San Marcos,92069,"POLYGON ((-117.1768745 33.1387397, -117.1765709 33.1386686, -117.1765279 33.1387973, -117.1768315 33.1388684, -117.1768745 33.1387397))"
Chase,1705,San Elijo Road,San Marcos,92078,"POLYGON ((-117.2009641 33.0964528, -117.2008409 33.0965956, -117.2008 33.0965708, -117.2007708 33.0966047, -117.2006848 33.0965527, -117.2007127 33.0965204, -117.200676 33.0964982, -117.2008006 33.0963538, -117.2009641 33.0964528))"
U.S. Bank,640,Hacienda Drive,Vista,92081,"POLYGON ((-117.2551189 33.1933787, -117.2551078 33.1932853, -117.2551451 33.1932822, -117.2551366 33.1932098, -117.2547438 33.1932424, -117.2547521 33.1933122, -117.2546308 33.1933222, -117.2546395 33.1933955, -117.2547658 33.193385, -117.2547685 33.1934078, -117.2551189 33.1933787))"
Chase,7176,Avenida Encinas,Carlsbad,92011,"POLYGON ((-117.3106156 33.0999642, -117.3103775 33.0999676, -117.3103789 33.0999375, -117.3103138 33.0999386, -117.3103083 33.0998447, -117.3103734 33.0998435, -117.3103747 33.0998134, -117.3103581 33.0998157, -117.3103581 33.0997473, -117.3106061 33.0997403, -117.3106034 33.0998866, -117.3106141 33.0998858, -117.3106156 33.0999642))"
California Bank & Trust,2501,Palomar Airport Road,Carlsbad,92011,"POLYGON ((-117.2709755 33.1278792, -117.2709313 33.1278996, -117.270934 33.1279059, -117.270831 33.1279551, -117.2707981 33.1279068, -117.2707619 33.1279226, -117.2706476 33.12775, -117.2706848 33.1277315, -117.2706686 33.1277022, -117.2708029 33.1276376, -117.2709755 33.1278792))"
Chase,2219,Palomar Airport Road,Carlsbad,92011,"POLYGON ((-117.2750011 33.1253993, -117.2749172 33.1254518, -117.2748544 33.1253814, -117.2747145 33.125469, -117.2745975 33.1253379, -117.2748476 33.1251814, -117.2749661 33.1253141, -117.2749397 33.1253306, -117.2750011 33.1253993))"
Bank of America,645,Carlsbad Village Drive,Carlsbad,92008,"POLYGON ((-117.3473337 33.1601622, -117.3472214 33.1602272, -117.3472352 33.1602439, -117.3471733 33.1602797, -117.3471144 33.1602084, -117.3470546 33.1602431, -117.3470095 33.1601885, -117.347061 33.1601586, -117.3469675 33.1600456, -117.346998 33.1600279, -117.3469871 33.1600147, -117.3470917 33.1599541, -117.3471047 33.1599698, -117.347152 33.1599424, -117.3473337 33.1601622))"
California Bank & Trust,675,Carlsbad Village Drive,Carlsbad,92008,"POLYGON ((-117.3469303 33.1604265, -117.3468608 33.160466, -117.346856 33.1604601, -117.3467216 33.1605365, -117.3466385 33.160434, -117.3466181 33.1604456, -117.3465566 33.1603699, -117.3466265 33.1603301, -117.3466142 33.1603149, -117.346737 33.1602451, -117.3467489 33.1602598, -117.3467793 33.1602425, -117.3467946 33.1602614, -117.346923 33.1601885, -117.3469785 33.1602569, -117.3468514 33.1603292, -117.3469303 33.1604265))"
Union Bank,840,Carlsbad Village Drive,Carlsbad,92008,"POLYGON ((-117.3456312 33.1618847, -117.3456171 33.1618927, -117.3456082 33.1618818, -117.3454572 33.161968, -117.3452713 33.1617398, -117.3454192 33.1616554, -117.345408 33.1616418, -117.3454253 33.1616319, -117.3456312 33.1618847))"
U.S. Bank,770,Carlsbad Village Drive,Carlsbad,92008,"POLYGON ((-117.3463322 33.1613383, -117.3463242 33.1613428, -117.346363 33.1613903, -117.3462761 33.1614401, -117.3462377 33.1613931, -117.346151 33.1614427, -117.3460265 33.1612903, -117.346208 33.1611863, -117.3463322 33.1613383))"
Mission Federal Credit Union,710,Carlsbad Village Drive,Carlsbad,92008,"POLYGON ((-117.3466721 33.1611088, -117.3464758 33.161222, -117.3463825 33.1611086, -117.3465788 33.1609954, -117.3466721 33.1611088))"
Chase,699,Grand Avenue,Carlsbad,92008,"POLYGON ((-117.34749 33.1615731, -117.3475699 33.1616682, -117.3478704 33.1614931, -117.3477913 33.161398, -117.34749 33.1615731))"
Bank of America,1735,Eastlake Parkway,Chula Vista,91915,"POLYGON ((-116.9619907 32.6201699, -116.9619401 32.6201863, -116.9619327 32.6201701, -116.9618361 32.6202015, -116.9618465 32.620224, -116.9617683 32.6202495, -116.9616934 32.620086, -116.9617335 32.620073, -116.961725 32.6200546, -116.961803 32.6200293, -116.9619103 32.6199944, -116.9619907 32.6201699))"
Wells Fargo,2160,Birch Road,Chula Vista,91915,"POLYGON ((-116.9612874 32.6214812, -116.9610922 32.6215163, -116.9610374 32.6213003, -116.9610612 32.621296, -116.9610542 32.6212683, -116.9611297 32.6212547, -116.9611382 32.6212885, -116.9612342 32.6212713, -116.9612874 32.6214812))"
San Diego County Credit Union,2280,Otay Lakes Road,Chula Vista,91915,"POLYGON ((-116.9657303 32.6477567, -116.9656083 32.6477875, -116.9656032 32.6477696, -116.9655585 32.6477816, -116.9655026 32.6476361, -116.9655493 32.6476284, -116.9655341 32.6475873, -116.9657059 32.6475419, -116.9657201 32.6475796, -116.9657567 32.6475693, -116.9657973 32.6476891, -116.9657567 32.6476977, -116.9657689 32.6477259, -116.9657242 32.6477353, -116.9657303 32.6477567))"
Citibank,13455,Poway Road,Poway,92064,"POLYGON ((-117.0397391 32.9562325, -117.0396562 32.9562316, -117.0396563 32.9562239, -117.0395177 32.9562225, -117.0395175 32.956236, -117.0394327 32.9562351, -117.0394341 32.9561332, -117.0394286 32.9561331, -117.0394295 32.9560671, -117.039439 32.9560672, -117.0397289 32.9560707, -117.0397273 32.9561648, -117.0397401 32.956165, -117.0397391 32.9562325))"
Mission Federal Credit Union,13465,Poway Road,Poway,92064,"POLYGON ((-117.0391615 32.9562114, -117.0391633 32.9561404, -117.0391593 32.9561403, -117.0391604 32.956097, -117.0390554 32.9560951, -117.0390571 32.9560281, -117.0389468 32.9560261, -117.0389466 32.9560318, -117.0388812 32.9560307, -117.0388796 32.956093, -117.0388717 32.9560928, -117.0388705 32.9561414, -117.038879 32.9561415, -117.0388774 32.9562063, -117.0391615 32.9562114))"
Bank of America,12724,Poway Road,Poway,92064,"POLYGON ((-117.0562566 32.9555087, -117.0561256 32.9552355, -117.0557983 32.9553454, -117.0559044 32.9555605, -117.056097 32.955496, -117.0561935 32.955529, -117.0562566 32.9555087))"
Chase,10539,Scripps Poway Parkway,San Diego,92131,"POLYGON ((-117.1016148 32.936537, -117.1016219 32.9362931, -117.1014796 32.9362863, -117.1014816 32.936276, -117.1014127 32.9362727, -117.1013912 32.9362717, -117.1013769 32.9365294, -117.1016148 32.936537))"
Bank of America,11497,Scripps Poway Parkway,San Diego,92131,"POLYGON ((-117.1017359 32.9369979, -117.1017198 32.9369972, -117.101719 32.9370118, -117.101546 32.9370048, -117.1015492 32.9369495, -117.1015607 32.9367501, -117.1016675 32.9367544, -117.1017498 32.9367577, -117.1017464 32.9368164, -117.1017359 32.9369979))"
San Diego County Credit Union,1475,West Vista Way,Vista,92083,"POLYGON ((-117.2727301 33.1919931, -117.2724044 33.1921224, -117.27226 33.1918976, -117.2725924 33.1917599, -117.2727301 33.1919931))"
Chase,4025,Cherokee Avenue,San Diego,92105,"POLYGON ((-117.113826 32.7502575, -117.114188 32.7502605, -117.114187 32.7503484, -117.1139295 32.7503463, -117.1139285 32.750432, -117.1141779 32.7504341, -117.1141769 32.7505221, -117.1138229 32.7505191, -117.113826 32.7502575))"
Bank of America,2704,Palomar Airport Road,Carlsbad,92010,"POLYGON ((-117.2599474 33.1310364, -117.259875 33.1310415, -117.2598764 33.1310471, -117.2597431 33.1310602, -117.2597397 33.1310517, -117.2597045 33.1310556, -117.2596828 33.1308879, -117.2599312 33.1308692, -117.2599393 33.1309377, -117.2599611 33.1309351, -117.2599996 33.1309321, -117.2600077 33.1309938, -117.2599677 33.1309978, -117.2599427 33.1309995, -117.2599474 33.1310364))"
Mission Federal Credit Union,2662,Gateway Road,Carlsbad,92009,"POLYGON ((-117.2534331 33.1284331, -117.2534455 33.1285342, -117.2534378 33.1285348, -117.2534273 33.1285356, -117.2534281 33.128543, -117.2533954 33.1285455, -117.2533783 33.1285618, -117.2533361 33.1285656, -117.2533192 33.128554, -117.2533012 33.1285413, -117.2532965 33.1285053, -117.2533102 33.1284902, -117.2533049 33.1284428, -117.2534331 33.1284331))"
Citibank,5604,Mission Center Road,San Diego,92108,"POLYGON ((-117.1544422 32.7754498, -117.1544183 32.7754304, -117.1543648 32.7754774, -117.1543346 32.775453, -117.154326 32.7754605, -117.1542685 32.7754139, -117.1542739 32.7754092, -117.1542415 32.7753829, -117.1542718 32.7753562, -117.1542625 32.7753486, -117.15439 32.7752363, -117.1544543 32.7752883, -117.1544674 32.7752768, -117.154556 32.7753491, -117.1544422 32.7754498))"
Mission Federal Bank,599,Telegraph Canyon Road,Chula Vista,91911,"POLYGON ((-117.0371638 32.6283069, -117.0371445 32.6284688, -117.0370775 32.6284631, -117.0370731 32.6285007, -117.0368953 32.6284857, -117.0369014 32.6284346, -117.0368766 32.6284325, -117.0368835 32.6283739, -117.0369084 32.628376, -117.036919 32.6282862, -117.0371638 32.6283069))"
HomeStreet Bank and Commercial Banking Office,9363,Clairemont Mesa Boulevard,San Diego,92123,"POLYGON ((-117.127295 32.8311963, -117.1272238 32.8311964, -117.1272238 32.8311932, -117.1270665 32.8311933, -117.1270665 32.8312102, -117.1269706 32.8312103, -117.1269705 32.8311298, -117.1269904 32.8311297, -117.1269904 32.8310791, -117.1269865 32.8310791, -117.1269864 32.8310147, -117.1270043 32.8310147, -117.1270043 32.8310104, -117.1270999 32.8310103, -117.1270999 32.8310154, -117.1271087 32.8310154, -117.1271087 32.8310186, -117.1272128 32.8310186, -117.1272128 32.8310152, -117.1272933 32.8310151, -117.1272934 32.8311218, -117.1273035 32.8311218, -117.1273036 32.8311852, -117.127295 32.8311852, -117.127295 32.8311963))"
Wells Fargo,1235,Avocado Avenue,El Cajon,92020,"POLYGON ((-116.9574492 32.7789371, -116.9574491 32.7788001, -116.9574733 32.7787788, -116.9574962 32.7787791, -116.957529 32.77875, -116.9576018 32.7787499, -116.9576019 32.7787961, -116.9576791 32.7787959, -116.9576792 32.7788251, -116.9576631 32.7788251, -116.9576632 32.7788961, -116.9576109 32.7788961, -116.957611 32.7789254, -116.9575834 32.7789254, -116.9575834 32.778937, -116.9574492 32.7789371))"
Chase,1133,Avocado Avenue,El Cajon,92020,"POLYGON ((-116.9576076 32.7796448, -116.9576096 32.7798698, -116.9575486 32.7798701, -116.9575486 32.7799232, -116.9573556 32.7799244, -116.9573576 32.7796464, -116.9576076 32.7796448))"
Navy Federal Credit Union,9660,Mission Gorge Road,Santee,92071,"POLYGON ((-116.9869668 32.8398295, -116.9869673 32.83965, -116.9869418 32.83965, -116.9865592 32.8396495, -116.9865681 32.8398287, -116.9869668 32.8398295))"
Wells Fargo,250,North 2nd Street,El Cajon,92021,"POLYGON ((-116.9359645 32.7967635, -116.9359649 32.7967132, -116.9360344 32.7967136, -116.936034 32.796763, -116.9361075 32.7967635, -116.936108 32.7967095, -116.9361788 32.79671, -116.9361783 32.7967637, -116.9362932 32.7967644, -116.9362916 32.7969572, -116.9359427 32.7969551, -116.9359431 32.7969044, -116.9359268 32.7969043, -116.9359276 32.7968156, -116.9359441 32.7968157, -116.9359446 32.7967634, -116.9359645 32.7967635))"
Mission Federal Credit Union,3815,Avocado Boulevard,La Mesa,91941,"POLYGON ((-116.9617432 32.748674, -116.961515 32.7486702, -116.9615194 32.748483, -116.9617477 32.7484868, -116.9617432 32.748674))"
Chase,1790,East Main Street,El Cajon,92021,"POLYGON ((-116.9174873 32.8148565, -116.9172209 32.8147182, -116.917344 32.8145371, -116.9176116 32.8146774, -116.9174873 32.8148565))"
Union Bank,9846,Campo Road,Spring Valley,91977,"POLYGON ((-116.9836217 32.7483957, -116.9834736 32.7483929, -116.98348 32.7481435, -116.9836468 32.7481466, -116.983646 32.7481768, -116.9836975 32.7481778, -116.9837451 32.7481787, -116.9837434 32.7482454, -116.9836956 32.7482447, -116.9836481 32.7482436, -116.9836455 32.7483401, -116.9836231 32.7483397, -116.9836217 32.7483957))"
Bank of the West,9832,Campo Road,Spring Valley,91977,"POLYGON ((-116.984156 32.7484803, -116.9841574 32.7483101, -116.984233 32.7483106, -116.9842338 32.7482262, -116.9841615 32.7482258, -116.9841617 32.7482002, -116.9839185 32.7481987, -116.9839161 32.7484811, -116.9840473 32.7484819, -116.984047 32.7485171, -116.9840846 32.7485173, -116.9840849 32.7484799, -116.984156 32.7484803))"
Bank of the West,1234,East Main Street,El Cajon,92019,"POLYGON ((-116.9400083 32.7951532, -116.9399681 32.795117, -116.9397295 32.7951206, -116.9396907 32.7951569, -116.9396912 32.795289, -116.9396592 32.7952891, -116.9396593 32.7953084, -116.9396742 32.7953084, -116.9396745 32.7953938, -116.9396954 32.7954085, -116.940007 32.795407, -116.940027 32.7953887, -116.9400262 32.7953007, -116.9400043 32.7952838, -116.9400083 32.7951532))"
Bank of America,512,Fletcher Parkway,El Cajon,92020,"POLYGON ((-116.9679986 32.8081786, -116.9680826 32.8081781, -116.9680816 32.8080725, -116.9678452 32.808074, -116.967846 32.8081725, -116.9678315 32.8081725, -116.9678319 32.8082112, -116.9678456 32.8082111, -116.9678468 32.8083469, -116.9678364 32.808347, -116.9678369 32.8084046, -116.9680206 32.8084035, -116.9680195 32.8082801, -116.9679995 32.8082802, -116.9679986 32.8081786))"
Inland Federal Credit Union,570,Broadway,El Cajon,92021,"POLYGON ((-116.955357 32.8086456, -116.9551929 32.808643, -116.9551922 32.8084195, -116.9552191 32.8084208, -116.9552174 32.8084065, -116.955333 32.8084085, -116.9553347 32.8084222, -116.9553607 32.8084243, -116.955357 32.8086456))"
Bank of America,845,North 2nd Street,El Cajon,92021,"POLYGON ((-116.9353191 32.8062967, -116.9353465 32.8062971, -116.9353465 32.806286, -116.9355345 32.8062864, -116.9355354 32.8060059, -116.9353091 32.8060054, -116.9353089 32.806058, -116.9353201 32.8060581, -116.9353197 32.8062063, -116.9353191 32.8062967))"
Mission Federal Credit Union,245,Town Center Parkway,Santee,92071,"POLYGON ((-116.9860675 32.8424749, -116.9861127 32.8425643, -116.9861258 32.8425597, -116.9861576 32.8426225, -116.9858783 32.8427221, -116.9858473 32.8426608, -116.9858601 32.8426563, -116.9858166 32.8425704, -116.985914 32.8425356, -116.9859056 32.842519, -116.9859643 32.8424981, -116.9859702 32.8425097, -116.9860675 32.8424749))"
Union Bank,22,East 8th Street,National City,91950,"POLYGON ((-117.1061188 32.675943, -117.1063176 32.6758885, -117.1061934 32.6755673, -117.1059946 32.6756217, -117.1061188 32.675943))"
Navy Federal Credit Union,8796,Grossmont Boulevard,La Mesa,91942,"POLYGON ((-117.0087405 32.7739573, -117.0087095 32.7737893, -117.008504 32.7738162, -117.0085091 32.7738438, -117.0085161 32.7738429, -117.0085185 32.7738557, -117.0084948 32.7738588, -117.0085027 32.7739019, -117.008481 32.7739047, -117.0084551 32.7739081, -117.0084631 32.7739511, -117.00849 32.7739476, -117.0085127 32.7739446, -117.0085204 32.773986, -117.0087405 32.7739573))"
Torrey Pines Bank,8379,Center Drive,La Mesa,91942,"POLYGON ((-117.0164504 32.7750681, -117.016435 32.7750402, -117.0164156 32.7750478, -117.0163426 32.7749158, -117.0160783 32.775019, -117.0160852 32.7750315, -117.0160548 32.7750433, -117.0161377 32.7751934, -117.0163534 32.7751092, -117.0163677 32.7751295, -117.0163854 32.7751672, -117.0164345 32.775148, -117.0164134 32.7751101, -117.016401 32.7750874, -117.0164504 32.7750681))"
Navy Federal Credit Union,200,Catalina Boulevard,San Diego,92106,"POLYGON ((-117.2493929 32.7095122, -117.2493788 32.7095666, -117.2492603 32.709545, -117.2492666 32.7095206, -117.2492243 32.7095129, -117.2492363 32.7094663, -117.2491975 32.709411, -117.2492644 32.7093778, -117.2492783 32.7093223, -117.2493432 32.7093338, -117.2493488 32.7093117, -117.2494182 32.709324, -117.2493985 32.7094028, -117.2494392 32.7094553, -117.2493736 32.7094913, -117.2493693 32.7095079, -117.2493929 32.7095122))"
Wells Fargo,730,Christmas Circle,Borrego Springs,92004,"POLYGON ((-116.3739394 33.2568739, -116.3739785 33.256858, -116.3739843 33.2568681, -116.3739925 33.2568623, -116.3740167 33.2569044, -116.373964 33.2569258, -116.3739777 33.2569495, -116.3739313 33.2569684, -116.3738523 33.2568311, -116.3739029 33.2568105, -116.3739394 33.2568739))"
North Island Credit Union,1101,Palm Avenue,Imperial Beach,91932,"POLYGON ((-117.1104828 32.5834252, -117.1104329 32.5834247, -117.1104306 32.5833987, -117.1103672 32.5833967, -117.1103659 32.5834292, -117.1103312 32.5834289, -117.1103313 32.5834163, -117.1102718 32.5834167, -117.1102696 32.5835231, -117.1101981 32.5835203, -117.1102001 32.5835851, -117.1102685 32.5835846, -117.1102687 32.5836801, -117.1103476 32.5836805, -117.1103485 32.5836696, -117.1104779 32.5836695, -117.1104828 32.5834252))"
California Coast Credit Union,429,Santa Fe Drive,Encinitas,92024,"POLYGON ((-117.2839417 33.0351739, -117.2839993 33.0351708, -117.2839931 33.0350917, -117.2836416 33.0351108, -117.2836478 33.0351903, -117.2839417 33.0351739))"
Union Bank,900,Palm Avenue,Imperial Beach,91932,"POLYGON ((-117.1139704 32.5841349, -117.1141644 32.5841356, -117.1141633 32.5843535, -117.1141414 32.5843534, -117.1141407 32.584495, -117.1140417 32.5844947, -117.1140423 32.5843594, -117.1139693 32.5843591, -117.1139704 32.5841349))"
